supplier_id,source_supplier_id,supplier_name,normalized_name,country_code,country_name,supplier_type,supplier_status,source_id,source_file_id,source_record_id,collected_at
sup_0040,Vulputate Foundation,Vulputate Foundation,vulputate foundation,,,,,src_nist_supplychain,file_nist_009,Vulputate Foundation,2026-08-19
sup_0041,Praesent Corporation,Praesent Corporation,praesent corporation,,,,,src_nist_supplychain,file_nist_009,Praesent Corporation,2026-08-19
sup_0042,Sodales,Sodales,sodales,,,,,src_nist_supplychain,file_nist_009,Sodales,2026-08-19
sup_0043,31001,Ante Dictum LLC,ante dictum llc,,,,,src_nist_supplychain,file_nist_012,31001,2026-08-19
sup_0044,12011,Magna LLC,magna llc,,,,,src_nist_supplychain,file_nist_012,12011,2026-08-19
sup_0045,59663,Sem Eget Massa Industries,sem eget massa industries,,,,,src_nist_supplychain,file_nist_012,59663,2026-08-19
sup_0046,30272,Magna Ut Tincidunt Foundation,magna ut tincidunt foundation,,,,,src_nist_supplychain,file_nist_012,30272,2026-08-19
sup_0047,43057,Lorem Consulting,lorem consulting,,,,,src_nist_supplychain,file_nist_012,43057,2026-08-19
sup_0048,95787,Mattis Cras LLP,mattis cras llp,,,,,src_nist_supplychain,file_nist_012,95787,2026-08-19
sup_0049,21629,Luctus Lobortis Class Company,luctus lobortis class company,,,,,src_nist_supplychain,file_nist_012,21629,2026-08-19
sup_0050,81659,Et Rutrum Institute,et rutrum institute,,,,,src_nist_supplychain,file_nist_012,81659,2026-08-19
sup_0051,40189,Orci Phasellus Dapibus Company,orci phasellus dapibus company,,,,,src_nist_supplychain,file_nist_012,40189,2026-08-19
sup_0052,AC_LLC,Ac LLC,ac llc,,,,,src_nist_supplychain,file_nist_015,AC_LLC,2026-08-19
sup_0053,ALIQUAM_ER,Aliquam Erat Volutpat Associates,aliquam erat volutpat associates,,,,,src_nist_supplychain,file_nist_015,ALIQUAM_ER,2026-08-19
sup_0054,AMET_INCOR,Amet Incorporated,amet incorporated,,,,,src_nist_supplychain,file_nist_015,AMET_INCOR,2026-08-19
sup_0055,AMET_ULTRI,Amet Ultricies Sem Institute,amet ultricies sem institute,,,,,src_nist_supplychain,file_nist_015,AMET_ULTRI,2026-08-19
sup_0056,CONSEQUAT_,Consequat Auctor Nunc Company,consequat auctor nunc company,,,,,src_nist_supplychain,file_nist_015,CONSEQUAT_,2026-08-19
sup_0057,DAPIBUS_QU,Dapibus Quam Quis Incorporated,dapibus quam quis incorporated,,,,,src_nist_supplychain,file_nist_015,DAPIBUS_QU,2026-08-19
sup_0058,DIS_INC.,Dis Inc.,dis inc.,,,,,src_nist_supplychain,file_nist_015,DIS_INC.,2026-08-19
sup_0059,DIS_PARTUR,Dis Parturient Incorporated,dis parturient incorporated,,,,,src_nist_supplychain,file_nist_015,DIS_PARTUR,2026-08-19
sup_0060,DONEC_DIGN,Donec Dignissim Industries,donec dignissim industries,,,,,src_nist_supplychain,file_nist_015,DONEC_DIGN,2026-08-19
sup_0061,VITAE_DIAM,Donec Tincidunt Company,donec tincidunt company,,,,,src_nist_supplychain,file_nist_015,VITAE_DIAM,2026-08-19
sup_0062,DUI_INDUST,Dui Industries,dui industries,,,,,src_nist_supplychain,file_nist_015,DUI_INDUST,2026-08-19
sup_0063,DUI_SUSPEN,Dui Suspendisse Consulting,dui suspendisse consulting,,,,,src_nist_supplychain,file_nist_015,DUI_SUSPEN,2026-08-19
sup_0064,EST_TEMPOR,Est Tempor Bibendum LLC,est tempor bibendum llc,,,,,src_nist_supplychain,file_nist_015,EST_TEMPOR,2026-08-19
sup_0065,ET_IPSUM_C,Et Ipsum Cursus Ltd,et ipsum cursus ltd,,,,,src_nist_supplychain,file_nist_015,ET_IPSUM_C,2026-08-19
sup_0066,FRINGILLA_,Fringilla Est Industries,fringilla est industries,,,,,src_nist_supplychain,file_nist_015,FRINGILLA_,2026-08-19
sup_0067,HENDRERIT_,Hendrerit PC,hendrerit pc,,,,,src_nist_supplychain,file_nist_015,HENDRERIT_,2026-08-19
sup_0068,IACULIS_LL,Iaculis LLC,iaculis llc,,,,,src_nist_supplychain,file_nist_015,IACULIS_LL,2026-08-19
sup_0069,ID_COMPANY,Id Company,id company,,,,,src_nist_supplychain,file_nist_015,ID_COMPANY,2026-08-19
sup_0070,INCEPTOS_H,Inceptos Hymenaeos Mauris LLC,inceptos hymenaeos mauris llc,,,,,src_nist_supplychain,file_nist_015,INCEPTOS_H,2026-08-19
sup_0071,INTEGER_UR,Integer Urna Vivamus Corp.,integer urna vivamus corp.,,,,,src_nist_supplychain,file_nist_015,INTEGER_UR,2026-08-19
sup_0072,IPSUM_SUSP,Ipsum Suspendisse Company,ipsum suspendisse company,,,,,src_nist_supplychain,file_nist_015,IPSUM_SUSP,2026-08-19
sup_0073,LACUS_QUIS,Lacus Quisque Imperdiet PC,lacus quisque imperdiet pc,,,,,src_nist_supplychain,file_nist_015,LACUS_QUIS,2026-08-19
sup_0074,LIGULA_ALI,Ligula Aliquam Erat Incorporated,ligula aliquam erat incorporated,,,,,src_nist_supplychain,file_nist_015,LIGULA_ALI,2026-08-19
sup_0075,LOBORTIS_Q,Lobortis Quis Institute,lobortis quis institute,,,,,src_nist_supplychain,file_nist_015,LOBORTIS_Q,2026-08-19
sup_0076,MI_ENIM_CO,Mi Enim Condimentum Inc.,mi enim condimentum inc.,,,,,src_nist_supplychain,file_nist_015,MI_ENIM_CO,2026-08-19
sup_0077,MI_LACINIA,Mi Lacinia Industries,mi lacinia industries,,,,,src_nist_supplychain,file_nist_015,MI_LACINIA,2026-08-19
sup_0078,MOLESTIE_A,Molestie Arcu Company,molestie arcu company,,,,,src_nist_supplychain,file_nist_015,MOLESTIE_A,2026-08-19
sup_0079,MUS_PROIN_,Mus Proin Corporation,mus proin corporation,,,,,src_nist_supplychain,file_nist_015,MUS_PROIN_,2026-08-19
sup_0080,NEQUE_INST,Neque Institute,neque institute,,,,,src_nist_supplychain,file_nist_015,NEQUE_INST,2026-08-19
sup_0081,NEQUE_SED_,Neque Sed Sem LLP,neque sed sem llp,,,,,src_nist_supplychain,file_nist_015,NEQUE_SED_,2026-08-19
sup_0082,NETUS_LLP,Netus LLP,netus llp,,,,,src_nist_supplychain,file_nist_015,NETUS_LLP,2026-08-19
sup_0083,NONUMMY_FU,Nonummy Fusce Foundation,nonummy fusce foundation,,,,,src_nist_supplychain,file_nist_015,NONUMMY_FU,2026-08-19
sup_0084,NULLA_DONE,Nulla Donec Non Corp.,nulla donec non corp.,,,,,src_nist_supplychain,file_nist_015,NULLA_DONE,2026-08-19
sup_0085,NULLA_INTE,Nulla Interdum Corp.,nulla interdum corp.,,,,,src_nist_supplychain,file_nist_015,NULLA_INTE,2026-08-19
sup_0086,NULLA_SEMP,Nulla Semper Associates,nulla semper associates,,,,,src_nist_supplychain,file_nist_015,NULLA_SEMP,2026-08-19
sup_0087,ORCI_TINCI,Orci Tincidunt Adipiscing Inc.,orci tincidunt adipiscing inc.,,,,,src_nist_supplychain,file_nist_015,ORCI_TINCI,2026-08-19
sup_0088,PEDE_PRAES,Pede Praesent Eu Inc.,pede praesent eu inc.,,,,,src_nist_supplychain,file_nist_015,PEDE_PRAES,2026-08-19
sup_0089,PER_INCEPT,Per Inceptos LLP,per inceptos llp,,,,,src_nist_supplychain,file_nist_015,PER_INCEPT,2026-08-19
sup_0090,PHARETRA_S,Pharetra Sed Industries,pharetra sed industries,,,,,src_nist_supplychain,file_nist_015,PHARETRA_S,2026-08-19
sup_0091,PHASELLUS_,Phasellus At Company,phasellus at company,,,,,src_nist_supplychain,file_nist_015,PHASELLUS_,2026-08-19
sup_0092,QUIS_PEDE_,Quis Pede Suspendisse Inc.,quis pede suspendisse inc.,,,,,src_nist_supplychain,file_nist_015,QUIS_PEDE_,2026-08-19
sup_0093,QUISQUE_PO,Quisque Porttitor Eros Inc.,quisque porttitor eros inc.,,,,,src_nist_supplychain,file_nist_015,QUISQUE_PO,2026-08-19
sup_0094,RISUS_ODIO,RISUS_ODIO,risus_odio,,,,,src_nist_supplychain,file_nist_015,RISUS_ODIO,2026-08-19
sup_0095,SED_CONSEQ,Sed Consequat Auctor Ltd,sed consequat auctor ltd,,,,,src_nist_supplychain,file_nist_015,SED_CONSEQ,2026-08-19
sup_0096,SED_TURPIS,Sed Turpis Nec Company,sed turpis nec company,,,,,src_nist_supplychain,file_nist_015,SED_TURPIS,2026-08-19
sup_0097,SODALES_AT,Sodales At LLP,sodales at llp,,,,,src_nist_supplychain,file_nist_015,SODALES_AT,2026-08-19
sup_0098,TACITI_IND,Taciti Industries,taciti industries,,,,,src_nist_supplychain,file_nist_015,TACITI_IND,2026-08-19
sup_0099,TEMPUS_COR,Tempus Corporation,tempus corporation,,,,,src_nist_supplychain,file_nist_015,TEMPUS_COR,2026-08-19
sup_0100,TEMPUS_MAU,Tempus Mauris Erat LLP,tempus mauris erat llp,,,,,src_nist_supplychain,file_nist_015,TEMPUS_MAU,2026-08-19
sup_0101,UT_ERAT_SE,Ut Erat Sed LLC,ut erat sed llc,,,,,src_nist_supplychain,file_nist_015,UT_ERAT_SE,2026-08-19
sup_0102,VELIT_SED_,Velit Sed Inc.,velit sed inc.,,,,,src_nist_supplychain,file_nist_015,VELIT_SED_,2026-08-19
sup_0103,VESTIBULUM,Vestibulum Hotel,vestibulum hotel,,,,,src_nist_supplychain,file_nist_015,VESTIBULUM,2026-08-19
sup_0104,VITAE_DIAM,Vitae Diam Incorporated,vitae diam incorporated,,,,,src_nist_supplychain,file_nist_015,VITAE_DIAM,2026-08-19
sup_0105,VITAE_ODIO,Vitae Odio Pipette,vitae odio pipette,,,,,src_nist_supplychain,file_nist_015,VITAE_ODIO,2026-08-19
sup_0106,VOLUTPAT_N,Volutpat Nulla Dignissim Corporation,volutpat nulla dignissim corporation,,,,,src_nist_supplychain,file_nist_015,VOLUTPAT_N,2026-08-19
sup_0107,3a007af5-01de-4a61-a388-dad6e0f898e3,Hanack und Partner,hanack und partner,DEU,,medium,,src_ted_opendata,file_ted_0001,organisation:ORG-0004,2026-08-19
sup_0108,9482241384,Centrum Zaopatrzenia Energetyki ELTAST,centrum zaopatrzenia energetyki eltast,POL,,small,,src_ted_opendata,file_ted_0002,organisation:ORG-0003,2026-08-19
sup_0109,1488244000,"ZIDES Podjetje za gradbeništvo, trgovino, proizvodnjo in zastopanje d.o.o.","zides podjetje za gradbeništvo, trgovino, proizvodnjo in zastopanje d.o.o.",SVN,,sme,,src_ted_opendata,file_ted_0003,organisation:ORG-0004,2026-08-19
sup_0110,141982011,RESQMED Sp. z o.o.,resqmed sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0005,organisation:ORG-0005,2026-08-19
sup_0111,SE-556569172101,Nuklex AB,nuklex ab,SWE,,,,src_ted_opendata,file_ted_0006,organisation:ORG-0003,2026-08-19
sup_0112,6420000151,Przedsiębiorstwo Spedycyjno – Transportowe „Transgór” S.A.,przedsiębiorstwo spedycyjno – transportowe „transgór” s.a.,POL,,,,src_ted_opendata,file_ted_0007,organisation:ORG-0003,2026-08-19
sup_0113,7352497196,Przedsiębiorstwo Usług Komunalnych „EMPOL” Sp. z o.o.,przedsiębiorstwo usług komunalnych „empol” sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0007,organisation:ORG-0004,2026-08-19
sup_0114,1484425-1-0-1,EUROVIA ATLANTIQUE,eurovia atlantique,FRA,,large,,src_ted_opendata,file_ted_0008,organisation:ORG-0006,2026-08-19
sup_0115,RO39696626,ZIMMER BIOMET ROMANIA,zimmer biomet romania,ROU,,medium,,src_ted_opendata,file_ted_0009,organisation:ORG-9002,2026-08-19
sup_0116,12704530,STRYKER ROMANIA S.R.L.,stryker romania s.r.l.,ROU,,medium,,src_ted_opendata,file_ted_0009,organisation:ORG-9000,2026-08-19
sup_0117,34443487,Neos Europe,neos europe,ROU,,small,,src_ted_opendata,file_ted_0009,organisation:ORG-9001,2026-08-19
sup_0118,RO 9625593,MEDICAL ORTOVIT,medical ortovit,ROU,,medium,,src_ted_opendata,file_ted_0009,organisation:ORG-9003,2026-08-19
sup_0119,NIP: 8210007573,Międzygminny Bank Spółdzielczy w Zbuczynie,międzygminny bank spółdzielczy w zbuczynie,POL,,,,src_ted_opendata,file_ted_0010,organisation:ORG-0003,2026-08-19
sup_0120,542021829 R.C.S.,SAFEGE Societe par actions simplifiee,safege societe par actions simplifiee,FRA,,,,src_ted_opendata,file_ted_0012,organisation:ORG-0004,2026-08-19
sup_0121,5252517202,LOHMANN & RAUSCHER POLSKA Sp. z o.o.,lohmann & rauscher polska sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0013,organisation:ORG-0004,2026-08-19
sup_0122,5422588828,Mölnlycke Health Care Polska Sp. z o.o.,mölnlycke health care polska sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0013,organisation:ORG-0003,2026-08-19
sup_0123,12554471,Wiki KD OÜ,wiki kd oü,EST,,,,src_ted_opendata,file_ted_0014,organisation:ORG-0004,2026-08-19
sup_0124,8271818828,Baxter Polska Sp. z o.o.,baxter polska sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0003,2026-08-19
sup_0125,52626275553,MIP Pharma Polska Sp. z o.o.,mip pharma polska sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0004,2026-08-19
sup_0126,5250004220,Centrala Farmaceutyczna CEFARM S.A.,centrala farmaceutyczna cefarm s.a.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0005,2026-08-19
sup_0127,1231284133,NEOMED POLSKA Sp. z o.o.,neomed polska sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0006,2026-08-19
sup_0128,5212936353,Fresenius Kabi Polska Sp. z o.o.,fresenius kabi polska sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0007,2026-08-19
sup_0129,8942556799,Urtica Sp. z o.o.,urtica sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0008,2026-08-19
sup_0130,6340125442,Salus International Sp. z o.o.,salus international sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0015,organisation:ORG-0009,2026-08-19
sup_0131,01973900838,MUNICIPIA S.p.A.,municipia s.p.a.,ITA,,,,src_ted_opendata,file_ted_0016,organisation:ORG-0003,2026-08-19
sup_0132,10083611219,Smart S.r.l.,smart s.r.l.,ITA,,,,src_ted_opendata,file_ted_0016,organisation:ORG-0004,2026-08-19
sup_0133,5521475000,"ZARJA ELEKTRONIKA proizvodnja, montaža, inženiring in projektiranje sistemov in naprav za tehnično zaščito d.o.o.","zarja elektronika proizvodnja, montaža, inženiring in projektiranje sistemov in naprav za tehnično zaščito d.o.o.",SVN,,sme,,src_ted_opendata,file_ted_0017,organisation:ORG-0004,2026-08-19
sup_0134,7341782622,"Firma Usługowo-Handlowo-Produkcyjna ""AQUA-EKO"" Stanisław Brzęk","firma usługowo-handlowo-produkcyjna ""aqua-eko"" stanisław brzęk",POL,,,,src_ted_opendata,file_ted_0018,organisation:ORG-0003,2026-08-19
sup_0135,REGON 591778799,ZAKŁAD USŁUG KOMUNALNYCH HAK STANISŁAW BURCZYŃSKI,zakład usług komunalnych hak stanisław burczyński,POL,,,,src_ted_opendata,file_ted_0019,organisation:ORG-0003,2026-08-19
sup_0136,6272754354,Miejskie Przedsiębiorstwo Usług Komunalnych w Świętochłowicach Sp. z o.o.,miejskie przedsiębiorstwo usług komunalnych w świętochłowicach sp. z o.o.,POL,,,,src_ted_opendata,file_ted_0020,organisation:ORG-0003,2026-08-19
sup_0137,1532649-1-0-1,COMPAGNIE GENERALE DE MAINTENANCE IMMOBILIERE,compagnie generale de maintenance immobiliere,FRA,,large,,src_ted_opendata,file_ted_0023,organisation:ORG-0007,2026-08-19
sup_0138,9378655,DR.MAX,dr.max,ROU,,large,,src_ted_opendata,file_ted_0024,organisation:ORG-9003,2026-08-19
sup_0139,RO 11653560,COMPANIA NATIONALA UNIFARM,compania nationala unifarm,ROU,,medium,,src_ted_opendata,file_ted_0024,organisation:ORG-9000,2026-08-19
sup_0140,RO 335278,FARMEXIM S.A.,farmexim s.a.,ROU,,large,,src_ted_opendata,file_ted_0024,organisation:ORG-9001,2026-08-19
sup_0141,RO 8955860,ALLIANCE HEALTHCARE ROMÂNIA SRL,alliance healthcare românia srl,ROU,,large,,src_ted_opendata,file_ted_0024,organisation:ORG-9002,2026-08-19
sup_0142,34340353103351,COLLETES VALORISATION ENERGIE DECHETS (COVED) SAS,colletes valorisation energie dechets (coved) sas,FRA,,,,src_ted_opendata,file_ted_0025,organisation:ORG-0003,2026-08-19
sup_0143,997826122,ΑΝΑΣΤΑΣΙΟΣ ΔΙΓΚΑΣ Ε.Ε. ΕΙΣΑΓΩΓΗ & ΕΜΠΟΡΙΑ ΙΑΤΡΙΚΩΝ,αναστασιοσ διγκασ ε.ε. εισαγωγη & εμπορια ιατρικων,GRC,,,,src_ted_opendata,file_ted_0026,organisation:ORG-0004,2026-08-19
sup_0144,5850001690,TU Ergo Hestia S.A.,tu ergo hestia s.a.,POL,,,,src_ted_opendata,file_ted_0028,organisation:ORG-0006,2026-08-19
sup_0145,338 253 131 10992,Société Française de Restauration et Services,société française de restauration et services,FRA,,large,,src_ted_opendata,file_ted_0029,organisation:ORG-0005,2026-08-19
sup_0146,6572771351,4 IDEA KAROL SITARSKI,4 idea karol sitarski,POL,,,,src_ted_opendata,file_ted_0030,organisation:ORG-0004,2026-08-19
sup_0147,B26384560,"SERVICIOS OSGA, S.L.","servicios osga, s.l.",ESP,,sme,,src_ted_opendata,file_ted_0031,organisation:ORG-0002,2026-08-19
sup_0148,1535021-1-0-1,ONYX ARA,onyx ara,FRA,,large,,src_ted_opendata,file_ted_0032,organisation:ORG-0005,2026-08-19
sup_0149,31717802,INTRAVENA s.r.o.,intravena s.r.o.,SVK,,small,,src_ted_opendata,file_ted_0033,organisation:ORG-0003,2026-08-19
sup_0150,34113924,"MED - ART, spol. s r.o.","med - art, spol. s r.o.",SVK,,large,,src_ted_opendata,file_ted_0033,organisation:ORG-0004,2026-08-19
sup_0151,31625657,UNIPHARMA - 1. slovenská lekárnická akciová spoločnosť,unipharma - 1. slovenská lekárnická akciová spoločnosť,SVK,,large,,src_ted_opendata,file_ted_0033,organisation:ORG-0005,2026-08-19
sup_0152,5003555000,"Rexel, specializirana trgovina z elektrotehničnimi materiali in storitvami, d.o.o.","rexel, specializirana trgovina z elektrotehničnimi materiali in storitvami, d.o.o.",SVN,,sme,,src_ted_opendata,file_ted_0034,organisation:ORG-0004,2026-08-19
sup_0153,nimat-501,"Rexel, specializirana trgovina z elektrotehničnimi materiali in storitvami, d.o.o.","rexel, specializirana trgovina z elektrotehničnimi materiali in storitvami, d.o.o.",SVN,,sme,,src_ted_opendata,file_ted_0034,organisation:ORG-0005,2026-08-19
sup_0154,5584566000,"MR, trgovina, proizvodnja, montaža, inženiring, gradbeništvo, popravila, nastanitvene in druge dejavnosti, d.o.o.","mr, trgovina, proizvodnja, montaža, inženiring, gradbeništvo, popravila, nastanitvene in druge dejavnosti, d.o.o.",SVN,,sme,,src_ted_opendata,file_ted_0034,organisation:ORG-0006,2026-08-19
sup_0155,8991076556,TAURON Nowe Technologie S.A.,tauron nowe technologie s.a.,POL,,,,src_ted_opendata,file_ted_0035,organisation:ORG-0003,2026-08-19
sup_0156,1503465-1-1-1,BONNET DEFAY TERRASSEMENT,bonnet defay terrassement,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0005,2026-08-19
sup_0157,1503465-1-2-1,ENTREPRISE FAURIE,entreprise faurie,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0006,2026-08-19
sup_0158,1503465-1-3-1,SOCIETE DE DEVELOPPEMENT ET DE REALISATION DE TRAVAUX PUBLICS,societe de developpement et de realisation de travaux publics,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0007,2026-08-19
sup_0159,1503465-1-1-2,ENTREPRISE FERRET,entreprise ferret,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0008,2026-08-19
sup_0160,1503465-1-1-3,VALOUR T.P PERE ET FILS,valour t.p pere et fils,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0010,2026-08-19
sup_0161,1503465-1-1-4,BONNEFOY TP,bonnefoy tp,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0012,2026-08-19
sup_0162,1503465-1-1-5,FREDERIC PITAVY TP,frederic pitavy tp,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0014,2026-08-19
sup_0163,1503465-1-1-6,SARL STPPV,sarl stppv,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0015,2026-08-19
sup_0164,1503465-1-3-2,ETS TPCF - GROUPE COLAS,ets tpcf - groupe colas,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0009,2026-08-19
sup_0165,1503465-1-3-3,SOVETRA,sovetra,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0011,2026-08-19
sup_0166,1503465-1-3-4,CHRISTIAN FAURIE TRAVAUX PUBLICS - GRAVIERES ET SABLIERES DU DOUX,christian faurie travaux publics - gravieres et sablieres du doux,FRA,,large,,src_ted_opendata,file_ted_0036,organisation:ORG-0013,2026-08-19
sup_0167,06388171214,BRIGANTE ENGINEERING,brigante engineering,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0010,2026-08-19
sup_0168,04629350655,Istemi S.R.L.,istemi s.r.l.,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0004,2026-08-19
sup_0169,03641800655,Neotes srl,neotes srl,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0005,2026-08-19
sup_0170,01755510656,CAMPANIA SONDA SRL,campania sonda srl,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0006,2026-08-19
sup_0171,CCCFNC75M29C129X,Francesco Cuccurullo,francesco cuccurullo,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0007,2026-08-19
sup_0172,DCRLGU81A09D643E,GEOSVEVA DI DI CARLO LUIGI,geosveva di di carlo luigi,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0008,2026-08-19
sup_0173,00937950574,GEO 3D,geo 3d,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0009,2026-08-19
sup_0174,FNTNTN94D02L845I,Antonio Fontanella,antonio fontanella,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0011,2026-08-19
sup_0175,01031180571,GILETTI DEFERICO,giletti deferico,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0012,2026-08-19
sup_0176,DRSGRD65C10A509K,D'Urso Gerardo,d'urso gerardo,ITA,,,,src_ted_opendata,file_ted_0037,organisation:ORG-0013,2026-08-19
