category_id,source_category_code,category_system,category_name,category_description,parent_category_id,source_id
cat_0198,50532400,CPV,,,,src_ted_opendata
cat_0199,24313320,CPV,,,,src_ted_opendata
cat_0200,38000000,CPV,,,,src_ted_opendata
cat_0201,30213100,CPV,,,,src_ted_opendata
cat_0202,90513100,CPV,,,,src_ted_opendata
cat_0203,45231000,CPV,,,,src_ted_opendata
cat_0204,45221242,CPV,,,,src_ted_opendata
cat_0205,77000000,CPV,,,,src_ted_opendata
cat_0206,39830000,CPV,,,,src_ted_opendata
cat_0207,33191100,CPV,,,,src_ted_opendata
cat_0208,71520000,CPV,,,,src_ted_opendata
cat_0209,66515200,CPV,,,,src_ted_opendata
cat_0210,45221111,CPV,,,,src_ted_opendata
cat_0211,34300000,CPV,,,,src_ted_opendata
cat_0212,55321000,CPV,,,,src_ted_opendata
cat_0213,72268000,CPV,,,,src_ted_opendata
cat_0214,50312600,CPV,,,,src_ted_opendata
cat_0215,72611000,CPV,,,,src_ted_opendata
cat_0216,50312300,CPV,,,,src_ted_opendata
cat_0217,77200000,CPV,,,,src_ted_opendata
cat_0218,44312300,CPV,,,,src_ted_opendata
cat_wb_consultant_services,Consultant Services,World Bank DS00005 Procurement Category,Consultant Services,Source category from World Bank Finances One,,src_worldbank_finances1
cat_wb_goods,Goods,World Bank DS00005 Procurement Category,Goods,Source category from World Bank Finances One,,src_worldbank_finances1
cat_wb_works,Works,World Bank DS00005 Procurement Category,Works,Source category from World Bank Finances One,,src_worldbank_finances1
cat_wb_non_consulting_services,Non-consulting Services,World Bank DS00005 Procurement Category,Non-consulting Services,Source category from World Bank Finances One,,src_worldbank_finances1
