award_supplier_id,award_id,supplier_id,supplier_role,awarded_value,currency_code,source_id,source_file_id,source_record_id
asu_00020,awd_00020,sup_0115,winner,372000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0013/organisation:ORG-9002
asu_00021,awd_00021,sup_0116,winner,43500,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0009/organisation:ORG-9000
asu_00022,awd_00022,sup_0116,winner,2080000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0002/organisation:ORG-9000
asu_00023,awd_00023,sup_0116,winner,3309000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0015/organisation:ORG-9000
asu_00024,awd_00024,sup_0116,winner,366000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0011/organisation:ORG-9000
asu_00025,awd_00025,sup_0116,winner,3071000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0004/organisation:ORG-9000
asu_00026,awd_00026,sup_0117,winner,768000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0018/organisation:ORG-9001
asu_00027,awd_00027,sup_0117,winner,639800,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0005/organisation:ORG-9001
asu_00028,awd_00028,sup_0118,winner,1037000,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0006/organisation:ORG-9003
asu_00029,awd_00029,sup_0118,winner,317800,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0017/organisation:ORG-9003
asu_00030,awd_00030,sup_0118,winner,564100,RON,src_ted_opendata,file_ted_0009,lot_result:RES-0016/organisation:ORG-9003
asu_00031,awd_00031,sup_0119,winner,2979099.97,PLN,src_ted_opendata,file_ted_0010,lot_result:RES-0001/organisation:ORG-0003
asu_00032,awd_00033,sup_0120,winner,1229385,PLN,src_ted_opendata,file_ted_0012,lot_result:RES-0001/organisation:ORG-0004
asu_00033,awd_00034,sup_0121,winner,51000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0001/organisation:ORG-0004
asu_00034,awd_00035,sup_0121,winner,23000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0002/organisation:ORG-0004
asu_00035,awd_00036,sup_0122,winner,153000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0003/organisation:ORG-0003
asu_00036,awd_00037,sup_0122,winner,208000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0004/organisation:ORG-0003
asu_00037,awd_00038,sup_0122,winner,339000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0005/organisation:ORG-0003
asu_00038,awd_00039,sup_0122,winner,630000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0006/organisation:ORG-0003
asu_00039,awd_00040,sup_0122,winner,336000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0007/organisation:ORG-0003
asu_00040,awd_00041,sup_0122,winner,630000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0008/organisation:ORG-0003
asu_00041,awd_00042,sup_0122,winner,343200,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0009/organisation:ORG-0003
asu_00042,awd_00043,sup_0122,winner,139600,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0010/organisation:ORG-0003
asu_00043,awd_00044,sup_0121,winner,84000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0011/organisation:ORG-0004
asu_00044,awd_00045,sup_0121,winner,587287,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0012/organisation:ORG-0004
asu_00045,awd_00046,sup_0122,winner,690000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0013/organisation:ORG-0003
asu_00046,awd_00047,sup_0122,winner,215000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0014/organisation:ORG-0003
asu_00047,awd_00048,sup_0121,winner,139600,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0015/organisation:ORG-0004
asu_00048,awd_00049,sup_0121,winner,82685,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0016/organisation:ORG-0004
asu_00049,awd_00050,sup_0121,winner,91805,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0017/organisation:ORG-0004
asu_00050,awd_00051,sup_0121,winner,53437.5,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0018/organisation:ORG-0004
asu_00051,awd_00052,sup_0121,winner,367407.4,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0019/organisation:ORG-0004
asu_00052,awd_00053,sup_0121,winner,88875,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0020/organisation:ORG-0004
asu_00053,awd_00054,sup_0121,winner,24600,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0021/organisation:ORG-0004
asu_00054,awd_00055,sup_0122,winner,339000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0022/organisation:ORG-0003
asu_00055,awd_00056,sup_0122,winner,252000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0023/organisation:ORG-0003
asu_00056,awd_00057,sup_0122,winner,270000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0024/organisation:ORG-0003
asu_00057,awd_00058,sup_0122,winner,220000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0025/organisation:ORG-0003
asu_00058,awd_00059,sup_0122,winner,120000,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0026/organisation:ORG-0003
asu_00059,awd_00060,sup_0122,winner,311400,PLN,src_ted_opendata,file_ted_0013,lot_result:RES-0027/organisation:ORG-0003
asu_00060,awd_00061,sup_0123,winner,178986.00,EUR,src_ted_opendata,file_ted_0014,lot_result:RES-0000/organisation:ORG-0004
asu_00061,awd_00062,sup_0124,winner,77047.2,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0001/organisation:ORG-0003
asu_00062,awd_00063,sup_0125,winner,21351.6,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0002/organisation:ORG-0004
asu_00063,awd_00064,sup_0126,winner,51148.8,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0003/organisation:ORG-0005
asu_00064,awd_00065,sup_0127,winner,6513.98,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0004/organisation:ORG-0006
asu_00065,awd_00066,sup_0128,winner,4898.88,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0005/organisation:ORG-0007
asu_00066,awd_00067,sup_0126,winner,167309.28,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0006/organisation:ORG-0005
asu_00067,awd_00068,sup_0129,winner,69660,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0007/organisation:ORG-0008
asu_00068,awd_00069,sup_0130,winner,10512.13,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0008/organisation:ORG-0009
asu_00069,awd_00070,sup_0124,winner,3881.6,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0009/organisation:ORG-0003
asu_00070,awd_00071,sup_0129,winner,11057.81,PLN,src_ted_opendata,file_ted_0015,lot_result:RES-0010/organisation:ORG-0008
asu_00071,awd_00072,sup_0131,winner,2867211.6,EUR,src_ted_opendata,file_ted_0016,lot_result:RES-0001/organisation:ORG-0003
asu_00072,awd_00072,sup_0132,winner,2867211.6,EUR,src_ted_opendata,file_ted_0016,lot_result:RES-0001/organisation:ORG-0004
asu_00073,awd_00073,sup_0133,winner,329791.0400,EUR,src_ted_opendata,file_ted_0017,lot_result:RES-0000/organisation:ORG-0004
asu_00074,awd_00074,sup_0134,winner,496987.65,PLN,src_ted_opendata,file_ted_0018,lot_result:RES-0001/organisation:ORG-0003
asu_00075,awd_00075,sup_0135,winner,2239196.4,PLN,src_ted_opendata,file_ted_0019,lot_result:RES-0001/organisation:ORG-0003
asu_00076,awd_00076,sup_0136,winner,1480846.08,PLN,src_ted_opendata,file_ted_0020,lot_result:RES-0001/organisation:ORG-0003
asu_00077,awd_00079,sup_0137,winner,390412.8,EUR,src_ted_opendata,file_ted_0023,lot_result:RES-0001/organisation:ORG-0007
asu_00078,awd_00080,sup_0138,winner,8600,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0005/organisation:ORG-9003
asu_00079,awd_00081,sup_0138,winner,43723.8,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0002/organisation:ORG-9003
asu_00080,awd_00082,sup_0138,winner,292.5,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0007/organisation:ORG-9003
asu_00081,awd_00083,sup_0138,winner,4370.8,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0004/organisation:ORG-9003
asu_00082,awd_00084,sup_0139,winner,38160,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0003/organisation:ORG-9000
asu_00083,awd_00085,sup_0140,winner,7300.8,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0008/organisation:ORG-9001
asu_00084,awd_00086,sup_0141,winner,29880,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0006/organisation:ORG-9002
asu_00085,awd_00087,sup_0140,winner,965580,RON,src_ted_opendata,file_ted_0024,lot_result:RES-0001/organisation:ORG-9001
asu_00086,awd_00089,sup_0142,winner,559008,EUR,src_ted_opendata,file_ted_0025,lot_result:RES-0001/organisation:ORG-0003
asu_00087,awd_00090,sup_0143,winner,4000,EUR,src_ted_opendata,file_ted_0026,lot_result:RES-0001/organisation:ORG-0004
asu_00088,awd_00092,sup_0144,winner,5959833,PLN,src_ted_opendata,file_ted_0028,lot_result:RES-0001/organisation:ORG-0006
asu_00089,awd_00093,sup_0145,winner,1080000,EUR,src_ted_opendata,file_ted_0029,lot_result:RES-0001/organisation:ORG-0005
asu_00090,awd_00094,sup_0146,winner,1860000.00,PLN,src_ted_opendata,file_ted_0030,lot_result:RES-0001/organisation:ORG-0004
asu_00091,awd_00095,sup_0147,winner,400815.91,EUR,src_ted_opendata,file_ted_0031,lot_result:RES-0001/organisation:ORG-0002
asu_00092,awd_00096,sup_0148,winner,1050380,EUR,src_ted_opendata,file_ted_0032,lot_result:RES-0001/organisation:ORG-0005
asu_00093,awd_00097,sup_0149,winner,243621.36,EUR,src_ted_opendata,file_ted_0033,lot_result:RES-0001/organisation:ORG-0003
asu_00094,awd_00098,sup_0150,winner,334117.78,EUR,src_ted_opendata,file_ted_0033,lot_result:RES-0002/organisation:ORG-0004
asu_00095,awd_00099,sup_0151,winner,6931.35,EUR,src_ted_opendata,file_ted_0033,lot_result:RES-0003/organisation:ORG-0005
asu_00096,awd_00100,sup_0152,winner,33830.0000,EUR,src_ted_opendata,file_ted_0034,lot_result:RES-0001/organisation:ORG-0004
asu_00097,awd_00101,sup_0153,winner,33990.0000,EUR,src_ted_opendata,file_ted_0034,lot_result:RES-0002/organisation:ORG-0005
asu_00098,awd_00102,sup_0154,winner,16990.0000,EUR,src_ted_opendata,file_ted_0034,lot_result:RES-0003/organisation:ORG-0006
asu_00099,awd_00103,sup_0155,winner,1025724,PLN,src_ted_opendata,file_ted_0035,lot_result:RES-0001/organisation:ORG-0003
asu_00100,awd_00104,sup_0156,winner,,,src_ted_opendata,file_ted_0036,lot_result:RES-0001/organisation:ORG-0005
asu_00101,awd_00105,sup_0157,winner,,,src_ted_opendata,file_ted_0036,lot_result:RES-0002/organisation:ORG-0006
asu_00102,awd_00106,sup_0158,winner,,,src_ted_opendata,file_ted_0036,lot_result:RES-0003/organisation:ORG-0007
asu_00103,awd_00107,sup_0167,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0010
asu_00104,awd_00107,sup_0168,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0004
asu_00105,awd_00107,sup_0169,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0005
asu_00106,awd_00107,sup_0170,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0006
asu_00107,awd_00107,sup_0171,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0007
asu_00108,awd_00107,sup_0172,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0008
asu_00109,awd_00107,sup_0173,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0009
asu_00110,awd_00107,sup_0174,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0011
asu_00111,awd_00107,sup_0175,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0012
asu_00112,awd_00107,sup_0176,winner,2243086.84,EUR,src_ted_opendata,file_ted_0037,lot_result:RES-0003/organisation:ORG-0013
asu_00113,awd_00109,sup_0177,winner,987500.00,BGN,src_ted_opendata,file_ted_0039,lot_result:RES-0001/organisation:ORG-0003
asu_00114,awd_00110,sup_0177,winner,908500.00,BGN,src_ted_opendata,file_ted_0039,lot_result:RES-0002/organisation:ORG-0003
asu_00115,awd_00111,sup_0178,winner,471932.86,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0001/organisation:ORG-0003
asu_00116,awd_00112,sup_0178,winner,305793.81,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0002/organisation:ORG-0003
asu_00117,awd_00113,sup_0178,winner,126421.89,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0003/organisation:ORG-0003
asu_00118,awd_00114,sup_0178,winner,149508.02,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0004/organisation:ORG-0003
asu_00119,awd_00115,sup_0179,winner,72265.25,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0005/organisation:ORG-0004
asu_00120,awd_00116,sup_0178,winner,355636.41,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0006/organisation:ORG-0003
asu_00121,awd_00117,sup_0178,winner,24263.14,PLN,src_ted_opendata,file_ted_0040,lot_result:RES-0007/organisation:ORG-0003
asu_00122,awd_00119,sup_0180,winner,1408141.89,EUR,src_ted_opendata,file_ted_0041,lot_result:RES-0001/organisation:ORG-0002
asu_00123,awd_00120,sup_0181,winner,1462678.47,EUR,src_ted_opendata,file_ted_0041,lot_result:RES-0002/organisation:ORG-0003
asu_00124,awd_00121,sup_0182,winner,,,src_ted_opendata,file_ted_0042,lot_result:RES-0001/organisation:ORG-0003
asu_00125,awd_00122,sup_0183,winner,,,src_ted_opendata,file_ted_0042,lot_result:RES-0004/organisation:ORG-0004
asu_00126,awd_00123,sup_0183,winner,,,src_ted_opendata,file_ted_0042,lot_result:RES-0003/organisation:ORG-0004
asu_00127,awd_00124,sup_0183,winner,,,src_ted_opendata,file_ted_0042,lot_result:RES-0002/organisation:ORG-0004
asu_00128,awd_00125,sup_0184,winner,20439.4,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0009/organisation:ORG-9000
asu_00129,awd_00126,sup_0184,winner,49709.44,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0016/organisation:ORG-9000
asu_00130,awd_00127,sup_0185,winner,22415,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0013/organisation:ORG-9005
asu_00131,awd_00128,sup_0186,winner,2090.9,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0005/organisation:ORG-9001
asu_00132,awd_00129,sup_0186,winner,14082.14,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0004/organisation:ORG-9001
asu_00133,awd_00130,sup_0184,winner,48411.25,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0001/organisation:ORG-9000
asu_00134,awd_00131,sup_0186,winner,1686,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0006/organisation:ORG-9001
asu_00135,awd_00132,sup_0187,winner,6747.9,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0012/organisation:ORG-9004
asu_00136,awd_00133,sup_0184,winner,7900,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0003/organisation:ORG-9000
asu_00137,awd_00134,sup_0186,winner,11778.8,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0014/organisation:ORG-9001
asu_00138,awd_00135,sup_0184,winner,85243.2,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0015/organisation:ORG-9000
asu_00139,awd_00136,sup_0186,winner,30425.6,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0007/organisation:ORG-9001
asu_00140,awd_00137,sup_0188,winner,45083,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0011/organisation:ORG-9003
asu_00141,awd_00138,sup_0184,winner,62464.1,RON,src_ted_opendata,file_ted_0043,lot_result:RES-0010/organisation:ORG-9000
asu_00142,awd_00141,sup_0190,winner,3563246.21,PLN,src_ted_opendata,file_ted_0044,lot_result:RES-0001/organisation:ORG-0004
asu_00143,awd_00142,sup_0191,winner,1928.74,EUR,src_ted_opendata,file_ted_0045,lot_result:RES-0001/organisation:ORG-0002
asu_00144,awd_00143,sup_0192,winner,166,EUR,src_ted_opendata,file_ted_0046,lot_result:RES-0001/organisation:ORG-0006
asu_00145,awd_00144,sup_0193,winner,37431306.9,PLN,src_ted_opendata,file_ted_0047,lot_result:RES-0001/organisation:ORG-0004
asu_00146,awd_00145,sup_0194,winner,12716812.08,PLN,src_ted_opendata,file_ted_0047,lot_result:RES-0002/organisation:ORG-0005
asu_00147,awd_00146,sup_0193,winner,28428312.42,PLN,src_ted_opendata,file_ted_0047,lot_result:RES-0003/organisation:ORG-0004
asu_00148,awd_00147,sup_0195,winner,646079.4,EUR,src_ted_opendata,file_ted_0048,lot_result:RES-0001/organisation:ORG-0004
asu_00149,awd_00151,sup_0196,winner,0.10,EUR,src_ted_opendata,file_ted_0051,lot_result:RES-0001/organisation:ORG-0004
asu_00150,awd_00152,sup_0197,winner,150000000.00,HUF,src_ted_opendata,file_ted_0052,lot_result:RES-0001/organisation:ORG-0005
asu_00151,awd_00153,sup_0197,winner,60000000.00,HUF,src_ted_opendata,file_ted_0052,lot_result:RES-0002/organisation:ORG-0005
asu_00152,awd_00154,sup_0199,winner,,,src_ted_opendata,file_ted_0053,lot_result:RES-0001/organisation:ORG-1001
asu_00153,awd_00155,sup_0200,winner,3932121.15,PLN,src_ted_opendata,file_ted_0054,lot_result:RES-0001/organisation:ORG-0006
asu_00154,awd_00156,sup_0193,winner,8047512,PLN,src_ted_opendata,file_ted_0055,lot_result:RES-0001/organisation:ORG-0003
asu_00155,awd_00157,sup_0201,winner,41160,EUR,src_ted_opendata,file_ted_0056,lot_result:RES-0001/organisation:ORG-0003
asu_00156,awd_00158,sup_0202,winner,486706.00,EUR,src_ted_opendata,file_ted_0057,lot_result:RES-0001/organisation:ORG-0005
asu_00157,awd_00159,sup_0202,winner,9450.00,EUR,src_ted_opendata,file_ted_0057,lot_result:RES-0002/organisation:ORG-0005
asu_00158,awd_00160,sup_0203,winner,16337.40,EUR,src_ted_opendata,file_ted_0057,lot_result:RES-0003/organisation:ORG-0006
asu_00159,awd_00161,sup_0204,winner,540217.44,PLN,src_ted_opendata,file_ted_0058,lot_result:RES-0001/organisation:ORG-0005
asu_00160,awd_00162,sup_0205,winner,260150,EUR,src_ted_opendata,file_ted_0059,lot_result:RES-0001/organisation:ORG-0002
asu_00161,awd_00163,sup_0206,winner,1863676.83,PLN,src_ted_opendata,file_ted_0060,lot_result:RES-0001/organisation:ORG-0003
asu_00162,awd_00164,sup_0207,winner,19504930.00,HUF,src_ted_opendata,file_ted_0061,lot_result:RES-0001/organisation:ORG-0005
asu_00163,awd_00165,sup_0208,winner,100000.00,EUR,src_ted_opendata,file_ted_0062,lot_result:RES-0000/organisation:ORG-0004
asu_00164,awd_00166,sup_0209,winner,195000.00,EUR,src_ted_opendata,file_ted_0062,lot_result:RES-0001/organisation:ORG-0005
asu_00165,awd_00168,sup_0210,winner,434378.4,EUR,src_ted_opendata,file_ted_0064,lot_result:RES-0001/organisation:ORG-0003
asu_00166,awd_00169,sup_0211,winner,142270.92,EUR,src_ted_opendata,file_ted_0065,lot_result:RES-0001/organisation:ORG-0002
asu_00167,awd_00170,sup_0212,winner,,,src_ted_opendata,file_ted_0066,lot_result:RES-0001/organisation:ORG-0006
asu_00168,awd_00171,sup_0213,winner,4062510.72,PLN,src_ted_opendata,file_ted_0067,lot_result:RES-0001/organisation:ORG-0003
asu_00169,awd_00172,sup_0214,winner,124701660,PLN,src_ted_opendata,file_ted_0068,lot_result:RES-0001/organisation:ORG-0003
asu_00170,awd_00173,sup_0215,winner,,,src_ted_opendata,file_ted_0069,lot_result:RES-0001/organisation:ORG-0004
asu_00171,awd_00174,sup_0216,winner,3934999,EUR,src_ted_opendata,file_ted_0070,lot_result:RES-0001/organisation:ORG-0003
asu_00172,awd_00175,sup_0217,winner,507221,EUR,src_ted_opendata,file_ted_0071,lot_result:RES-0001/organisation:ORG-0003
asu_00173,awd_00176,sup_0218,winner,89649,EUR,src_ted_opendata,file_ted_0072,lot_result:RES-0001/organisation:ORG-0005
asu_00174,awd_00177,sup_0219,winner,116797.5,EUR,src_ted_opendata,file_ted_0072,lot_result:RES-0002/organisation:ORG-0004
asu_00175,awd_00178,sup_0218,winner,57985,EUR,src_ted_opendata,file_ted_0072,lot_result:RES-0003/organisation:ORG-0005
asu_00176,awd_00179,sup_0219,winner,50768,EUR,src_ted_opendata,file_ted_0072,lot_result:RES-0004/organisation:ORG-0004
asu_00177,awd_00180,sup_0218,winner,26216,EUR,src_ted_opendata,file_ted_0072,lot_result:RES-0005/organisation:ORG-0005
asu_00178,awd_00181,sup_0220,winner,339747.72,EUR,src_ted_opendata,file_ted_0073,lot_result:RES-0001/organisation:ORG-0005
asu_00179,awd_00182,sup_0221,winner,100000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0001/organisation:ORG-0004
asu_00180,awd_00183,sup_0222,winner,400000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0002/organisation:ORG-0005
asu_00181,awd_00184,sup_0223,winner,25000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0003/organisation:ORG-0006
asu_00182,awd_00185,sup_0222,winner,20000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0004/organisation:ORG-0005
asu_00183,awd_00186,sup_0222,winner,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0005/organisation:ORG-0005
asu_00184,awd_00187,sup_0222,winner,20000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0006/organisation:ORG-0005
asu_00185,awd_00188,sup_0222,winner,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0007/organisation:ORG-0005
asu_00186,awd_00189,sup_0224,winner,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0008/organisation:ORG-0007
asu_00187,awd_00190,sup_0222,winner,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0009/organisation:ORG-0005
asu_00188,awd_00191,sup_0222,winner,30000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0010/organisation:ORG-0005
asu_00189,awd_00192,sup_0222,winner,10000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0011/organisation:ORG-0005
asu_00190,awd_00193,sup_0222,winner,30000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0012/organisation:ORG-0005
asu_00191,awd_00194,sup_0222,winner,70000,EUR,src_ted_opendata,file_ted_0074,lot_result:RES-0013/organisation:ORG-0005
asu_00192,awd_00197,sup_0225,winner,241650.72,PLN,src_ted_opendata,file_ted_0076,lot_result:RES-0001/organisation:ORG-0003
asu_00193,awd_00198,sup_0122,winner,525000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0001/organisation:ORG-0003
asu_00194,awd_00199,sup_0122,winner,380000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0002/organisation:ORG-0003
asu_00195,awd_00200,sup_0122,winner,75000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0003/organisation:ORG-0003
asu_00196,awd_00201,sup_0122,winner,333000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0004/organisation:ORG-0003
asu_00197,awd_00202,sup_0122,winner,123000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0005/organisation:ORG-0003
asu_00198,awd_00203,sup_0122,winner,58000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0006/organisation:ORG-0003
asu_00199,awd_00204,sup_0122,winner,316000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0007/organisation:ORG-0003
asu_00200,awd_00205,sup_0122,winner,325000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0008/organisation:ORG-0003
asu_00201,awd_00206,sup_0122,winner,12900,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0009/organisation:ORG-0003
asu_00202,awd_00207,sup_0122,winner,115600,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0010/organisation:ORG-0003
asu_00203,awd_00208,sup_0122,winner,249600,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0011/organisation:ORG-0003
asu_00204,awd_00209,sup_0122,winner,149600,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0012/organisation:ORG-0003
asu_00205,awd_00210,sup_0122,winner,672000,PLN,src_ted_opendata,file_ted_0077,lot_result:RES-0013/organisation:ORG-0003
