product_project_id,product_id,project_id,relationship_type,relationship_description,source_id,source_file_id,source_record_id
ppr_0045,prd_0044,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0055
ppr_0046,prd_0045,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0056
ppr_0047,prd_0046,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0057
ppr_0048,prd_0047,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0058
ppr_0049,prd_0048,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0059
ppr_0050,prd_0049,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0061
ppr_0051,prd_0050,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0062
ppr_0052,prd_0051,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0063
ppr_0053,prd_0052,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0064
ppr_0054,prd_0053,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0066
ppr_0055,prd_0054,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0067
ppr_0056,prd_0055,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0068
ppr_0057,prd_0056,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0069
ppr_0058,prd_0057,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0070
ppr_0059,prd_0058,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0071
ppr_0060,prd_0059,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0072
ppr_0061,prd_0060,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0073
ppr_0062,prd_0061,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0074
ppr_0063,prd_0062,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0075
ppr_0064,prd_0063,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0076
ppr_0065,prd_0064,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0077
ppr_0066,prd_0065,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,40-0078
ppr_0067,prd_0066,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0010
ppr_0068,prd_0067,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0012
ppr_0069,prd_0068,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0016
ppr_0070,prd_0069,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0080
ppr_0071,prd_0070,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0087
ppr_0072,prd_0071,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0088
ppr_0073,prd_0072,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,50-0089
ppr_0074,prd_0073,prj_0009,associated_with,,src_nist_supplychain,file_nist_007,90-0006
ppr_0075,prd_0074,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,1
ppr_0076,prd_0074,prj_0012,associated_with,,src_nist_supplychain,file_nist_010,1
ppr_0077,prd_0075,prj_0012,associated_with,,src_nist_supplychain,file_nist_010,2
ppr_0078,prd_0076,prj_0012,associated_with,,src_nist_supplychain,file_nist_010,3
ppr_0079,prd_0077,prj_0012,associated_with,,src_nist_supplychain,file_nist_010,4
ppr_0080,prd_0078,prj_0012,associated_with,,src_nist_supplychain,file_nist_010,5
ppr_0081,prd_0079,prj_0012,associated_with,,src_nist_supplychain,file_nist_010,6
ppr_0082,prd_0080,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,7
ppr_0083,prd_0081,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,8
ppr_0084,prd_0082,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,9
ppr_0085,prd_0083,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,10
ppr_0086,prd_0084,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,11
ppr_0087,prd_0085,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,12
ppr_0088,prd_0086,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,13
ppr_0089,prd_0087,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,14
ppr_0090,prd_0088,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,15
ppr_0091,prd_0089,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,16
ppr_0092,prd_0090,prj_0013,associated_with,,src_nist_supplychain,file_nist_010,17
ppr_0093,prd_0091,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,18
ppr_0094,prd_0092,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,19
ppr_0095,prd_0093,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,20
ppr_0096,prd_0094,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,21
ppr_0097,prd_0095,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,22
ppr_0098,prd_0096,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,23
ppr_0099,prd_0097,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,24
ppr_0100,prd_0098,prj_0014,associated_with,,src_nist_supplychain,file_nist_010,25
ppr_0101,prd_0099,prj_0015,associated_with,,src_nist_supplychain,file_nist_010,26
ppr_0102,prd_0100,prj_0015,associated_with,,src_nist_supplychain,file_nist_010,27
ppr_0103,prd_0101,prj_0015,associated_with,,src_nist_supplychain,file_nist_010,28
ppr_0104,prd_0102,prj_0015,associated_with,,src_nist_supplychain,file_nist_010,29
ppr_0105,prd_0103,prj_0015,associated_with,,src_nist_supplychain,file_nist_010,30
ppr_0106,prd_0104,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,40020
ppr_0107,prd_0105,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,43862
ppr_0108,prd_0106,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45874
ppr_0109,prd_0107,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,42760
ppr_0110,prd_0108,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45501
ppr_0111,prd_0109,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,44198
ppr_0112,prd_0110,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45892
ppr_0113,prd_0111,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45987
ppr_0114,prd_0112,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45953
ppr_0115,prd_0113,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,40007
ppr_0116,prd_0114,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,38473
ppr_0117,prd_0115,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45657
ppr_0118,prd_0116,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45629
ppr_0119,prd_0117,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45141
ppr_0120,prd_0118,prj_0019,associated_with,,src_nist_supplychain,file_nist_013,40136
ppr_0121,prd_0119,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,42657
ppr_0122,prd_0120,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,46357
ppr_0123,prd_0121,prj_0019,associated_with,,src_nist_supplychain,file_nist_013,40922
ppr_0124,prd_0122,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,44853
ppr_0125,prd_0123,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45655
ppr_0126,prd_0124,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45828
ppr_0127,prd_0125,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,38602
ppr_0128,prd_0126,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,40172
ppr_0129,prd_0127,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,43049
ppr_0130,prd_0128,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45864
ppr_0131,prd_0129,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,42175
ppr_0132,prd_0130,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,40014
ppr_0133,prd_0131,prj_0019,associated_with,,src_nist_supplychain,file_nist_013,41676
ppr_0134,prd_0132,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,44795
ppr_0135,prd_0133,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,43379
ppr_0136,prd_0134,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,44906
ppr_0137,prd_0135,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,43122
ppr_0138,prd_0136,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45658
ppr_0139,prd_0137,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45884
ppr_0140,prd_0138,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,40605
ppr_0141,prd_0139,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45891
ppr_0142,prd_0140,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45827
ppr_0143,prd_0141,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45500
ppr_0144,prd_0142,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45073
ppr_0145,prd_0143,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,42488
ppr_0146,prd_0144,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,46160
ppr_0147,prd_0145,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45378
ppr_0148,prd_0146,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,42715
ppr_0149,prd_0147,prj_0019,associated_with,,src_nist_supplychain,file_nist_013,43553
ppr_0150,prd_0148,prj_0016,associated_with,,src_nist_supplychain,file_nist_013,45408
ppr_0151,prd_0149,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45732
ppr_0152,prd_0150,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,43157
ppr_0153,prd_0151,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45877
ppr_0154,prd_0152,prj_0018,associated_with,,src_nist_supplychain,file_nist_013,45969
