supplier_product_id,supplier_id,product_id,relationship_type,relationship_description,source_id,source_file_id,source_record_id
spr_0037,sup_0019,prd_0033,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0044
spr_0038,sup_0022,prd_0034,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0045
spr_0039,sup_0019,prd_0035,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0046
spr_0040,sup_0022,prd_0035,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0046
spr_0041,sup_0019,prd_0036,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0047
spr_0042,sup_0020,prd_0036,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0047
spr_0043,sup_0019,prd_0037,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0048
spr_0044,sup_0020,prd_0037,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0048
spr_0045,sup_0019,prd_0038,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0049
spr_0046,sup_0019,prd_0039,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0050
spr_0047,sup_0020,prd_0039,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0050
spr_0048,sup_0019,prd_0040,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0051
spr_0049,sup_0020,prd_0040,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0051
spr_0050,sup_0019,prd_0041,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0052
spr_0051,sup_0020,prd_0041,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0052
spr_0052,sup_0019,prd_0042,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0053
spr_0053,sup_0019,prd_0043,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0054
spr_0054,sup_0037,prd_0043,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0054
spr_0055,sup_0019,prd_0044,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0055
spr_0056,sup_0020,prd_0044,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0055
spr_0057,sup_0019,prd_0045,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0056
spr_0058,sup_0020,prd_0045,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0056
spr_0059,sup_0019,prd_0046,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0057
spr_0060,sup_0020,prd_0046,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0057
spr_0061,sup_0019,prd_0047,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0058
spr_0062,sup_0020,prd_0047,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0058
spr_0063,sup_0019,prd_0048,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0059
spr_0064,sup_0019,prd_0049,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0061
spr_0065,sup_0019,prd_0050,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0062
spr_0066,sup_0020,prd_0050,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0062
spr_0067,sup_0019,prd_0051,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0063
spr_0068,sup_0023,prd_0052,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0064
spr_0069,sup_0023,prd_0053,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0066
spr_0070,sup_0020,prd_0053,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0066
spr_0071,sup_0019,prd_0054,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0067
spr_0072,sup_0020,prd_0054,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0067
spr_0073,sup_0019,prd_0055,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0068
spr_0074,sup_0019,prd_0056,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0069
spr_0075,sup_0039,prd_0057,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0070
spr_0076,sup_0020,prd_0057,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0070
spr_0077,sup_0033,prd_0058,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0071
spr_0078,sup_0024,prd_0058,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0071
spr_0079,sup_0019,prd_0059,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0072
spr_0080,sup_0020,prd_0059,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0072
spr_0081,sup_0019,prd_0060,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0073
spr_0082,sup_0019,prd_0061,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0074
spr_0083,sup_0025,prd_0061,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0074
spr_0084,sup_0019,prd_0062,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0075
spr_0085,sup_0022,prd_0062,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0075
spr_0086,sup_0019,prd_0063,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0076
spr_0087,sup_0026,prd_0063,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0076
spr_0088,sup_0020,prd_0064,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0077
spr_0089,sup_0040,prd_0064,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0077
spr_0090,sup_0041,prd_0065,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0078
spr_0091,sup_0027,prd_0065,vendor_of_component,,src_nist_supplychain,file_nist_007,40-0078
spr_0092,sup_0028,prd_0066,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0010
spr_0093,sup_0029,prd_0067,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0012
spr_0094,sup_0042,prd_0067,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0012
spr_0095,sup_0029,prd_0068,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0016
spr_0096,sup_0042,prd_0068,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0016
spr_0097,sup_0030,prd_0069,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0080
spr_0098,sup_0015,prd_0070,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0087
spr_0099,sup_0015,prd_0071,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0088
spr_0100,sup_0028,prd_0072,vendor_of_component,,src_nist_supplychain,file_nist_007,50-0089
spr_0101,sup_0031,prd_0073,vendor_of_component,,src_nist_supplychain,file_nist_007,90-0006
spr_0102,sup_0043,prd_0074,supplies,,src_nist_supplychain,file_nist_010,1
spr_0103,sup_0044,prd_0075,supplies,,src_nist_supplychain,file_nist_010,2
spr_0104,sup_0048,prd_0076,supplies,,src_nist_supplychain,file_nist_010,3
spr_0105,sup_0048,prd_0077,supplies,,src_nist_supplychain,file_nist_010,4
spr_0106,sup_0048,prd_0078,supplies,,src_nist_supplychain,file_nist_010,5
spr_0107,sup_0044,prd_0079,supplies,,src_nist_supplychain,file_nist_010,6
spr_0108,sup_0044,prd_0080,supplies,,src_nist_supplychain,file_nist_010,7
spr_0109,sup_0044,prd_0081,supplies,,src_nist_supplychain,file_nist_010,8
spr_0110,sup_0044,prd_0082,supplies,,src_nist_supplychain,file_nist_010,9
spr_0111,sup_0044,prd_0083,supplies,,src_nist_supplychain,file_nist_010,10
spr_0112,sup_0044,prd_0084,supplies,,src_nist_supplychain,file_nist_010,11
spr_0113,sup_0045,prd_0085,supplies,,src_nist_supplychain,file_nist_010,12
spr_0114,sup_0045,prd_0086,supplies,,src_nist_supplychain,file_nist_010,13
spr_0115,sup_0045,prd_0087,supplies,,src_nist_supplychain,file_nist_010,14
spr_0116,sup_0045,prd_0088,supplies,,src_nist_supplychain,file_nist_010,15
spr_0117,sup_0045,prd_0089,supplies,,src_nist_supplychain,file_nist_010,16
spr_0118,sup_0045,prd_0090,supplies,,src_nist_supplychain,file_nist_010,17
spr_0119,sup_0046,prd_0091,supplies,,src_nist_supplychain,file_nist_010,18
spr_0120,sup_0046,prd_0092,supplies,,src_nist_supplychain,file_nist_010,19
spr_0121,sup_0046,prd_0093,supplies,,src_nist_supplychain,file_nist_010,20
spr_0122,sup_0050,prd_0094,supplies,,src_nist_supplychain,file_nist_010,21
spr_0123,sup_0048,prd_0095,supplies,,src_nist_supplychain,file_nist_010,22
spr_0124,sup_0050,prd_0096,supplies,,src_nist_supplychain,file_nist_010,23
spr_0125,sup_0047,prd_0097,supplies,,src_nist_supplychain,file_nist_010,24
spr_0126,sup_0048,prd_0098,supplies,,src_nist_supplychain,file_nist_010,25
spr_0127,sup_0049,prd_0099,supplies,,src_nist_supplychain,file_nist_010,26
spr_0128,sup_0049,prd_0100,supplies,,src_nist_supplychain,file_nist_010,27
spr_0129,sup_0049,prd_0101,supplies,,src_nist_supplychain,file_nist_010,28
spr_0130,sup_0050,prd_0102,supplies,,src_nist_supplychain,file_nist_010,29
spr_0131,sup_0051,prd_0103,supplies,,src_nist_supplychain,file_nist_010,30
spr_0132,sup_0066,prd_0104,supplies,,src_nist_supplychain,file_nist_013,40020
spr_0133,sup_0102,prd_0104,supplies,,src_nist_supplychain,file_nist_013,40020
spr_0134,sup_0052,prd_0105,supplies,,src_nist_supplychain,file_nist_013,43862
spr_0135,sup_0089,prd_0105,supplies,,src_nist_supplychain,file_nist_013,43862
spr_0136,sup_0097,prd_0105,supplies,,src_nist_supplychain,file_nist_013,43862
spr_0137,sup_0099,prd_0105,supplies,,src_nist_supplychain,file_nist_013,43862
spr_0138,sup_0055,prd_0106,supplies,,src_nist_supplychain,file_nist_013,45874
spr_0139,sup_0092,prd_0107,supplies,,src_nist_supplychain,file_nist_013,42760
spr_0140,sup_0090,prd_0108,supplies,,src_nist_supplychain,file_nist_013,45501
spr_0141,sup_0082,prd_0109,supplies,,src_nist_supplychain,file_nist_013,44198
spr_0142,sup_0058,prd_0110,supplies,,src_nist_supplychain,file_nist_013,45892
spr_0143,sup_0076,prd_0111,supplies,,src_nist_supplychain,file_nist_013,45987
spr_0144,sup_0053,prd_0112,supplies,,src_nist_supplychain,file_nist_013,45953
spr_0145,sup_0096,prd_0113,supplies,,src_nist_supplychain,file_nist_013,40007
spr_0146,sup_0065,prd_0114,supplies,,src_nist_supplychain,file_nist_013,38473
spr_0147,sup_0101,prd_0115,supplies,,src_nist_supplychain,file_nist_013,45657
spr_0148,sup_0101,prd_0116,supplies,,src_nist_supplychain,file_nist_013,45629
spr_0149,sup_0101,prd_0117,supplies,,src_nist_supplychain,file_nist_013,45141
spr_0150,sup_0067,prd_0118,supplies,,src_nist_supplychain,file_nist_013,40136
spr_0151,sup_0059,prd_0119,supplies,,src_nist_supplychain,file_nist_013,42657
spr_0152,sup_0068,prd_0120,supplies,,src_nist_supplychain,file_nist_013,46357
spr_0153,sup_0064,prd_0121,supplies,,src_nist_supplychain,file_nist_013,40922
spr_0154,sup_0060,prd_0122,supplies,,src_nist_supplychain,file_nist_013,44853
spr_0155,sup_0077,prd_0123,supplies,,src_nist_supplychain,file_nist_013,45655
spr_0156,sup_0095,prd_0124,supplies,,src_nist_supplychain,file_nist_013,45828
spr_0157,sup_0071,prd_0125,supplies,,src_nist_supplychain,file_nist_013,38602
spr_0158,sup_0072,prd_0126,supplies,,src_nist_supplychain,file_nist_013,40172
spr_0159,sup_0063,prd_0127,supplies,,src_nist_supplychain,file_nist_013,43049
spr_0160,sup_0074,prd_0128,supplies,,src_nist_supplychain,file_nist_013,45864
spr_0161,sup_0100,prd_0129,supplies,,src_nist_supplychain,file_nist_013,42175
spr_0162,sup_0078,prd_0130,supplies,,src_nist_supplychain,file_nist_013,40014
spr_0163,sup_0075,prd_0131,supplies,,src_nist_supplychain,file_nist_013,41676
spr_0164,sup_0105,prd_0132,supplies,,src_nist_supplychain,file_nist_013,44795
spr_0165,sup_0073,prd_0135,supplies,,src_nist_supplychain,file_nist_013,43122
spr_0166,sup_0080,prd_0136,supplies,,src_nist_supplychain,file_nist_013,45658
spr_0167,sup_0083,prd_0137,supplies,,src_nist_supplychain,file_nist_013,45884
spr_0168,sup_0083,prd_0138,supplies,,src_nist_supplychain,file_nist_013,40605
spr_0169,sup_0087,prd_0139,supplies,,src_nist_supplychain,file_nist_013,45891
spr_0170,sup_0084,prd_0140,supplies,,src_nist_supplychain,file_nist_013,45827
spr_0171,sup_0088,prd_0141,supplies,,src_nist_supplychain,file_nist_013,45500
spr_0172,sup_0093,prd_0142,supplies,,src_nist_supplychain,file_nist_013,45073
spr_0173,sup_0056,prd_0143,supplies,,src_nist_supplychain,file_nist_013,42488
spr_0174,sup_0070,prd_0144,supplies,,src_nist_supplychain,file_nist_013,46160
spr_0175,sup_0079,prd_0145,supplies,,src_nist_supplychain,file_nist_013,45378
spr_0176,sup_0054,prd_0146,supplies,,src_nist_supplychain,file_nist_013,42715
spr_0177,sup_0069,prd_0147,supplies,,src_nist_supplychain,file_nist_013,43553
spr_0178,sup_0085,prd_0147,supplies,,src_nist_supplychain,file_nist_013,43553
spr_0179,sup_0098,prd_0147,supplies,,src_nist_supplychain,file_nist_013,43553
spr_0180,sup_0062,prd_0147,supplies,,src_nist_supplychain,file_nist_013,43553
spr_0181,sup_0057,prd_0148,supplies,,src_nist_supplychain,file_nist_013,45408
spr_0182,sup_0091,prd_0149,supplies,,src_nist_supplychain,file_nist_013,45732
spr_0183,sup_0106,prd_0150,supplies,,src_nist_supplychain,file_nist_013,43157
spr_0184,sup_0103,prd_0151,supplies,,src_nist_supplychain,file_nist_013,45877
spr_0185,sup_0086,prd_0151,supplies,,src_nist_supplychain,file_nist_013,45877
spr_0186,sup_0081,prd_0152,supplies,,src_nist_supplychain,file_nist_013,45969
